Phylum,Class,Species,CAB,CON,FAI,FRK,MOS,PLS,RSE,TAE,TAW,WRK,ASB,CHB,LIN,MIR,CHT,NOR,ESB
Echinodermata,Echinoidea,Dendraster_excentricus,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
Arthropoda,Malacostraca,Dexamine_thea,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
Annelida,Polychaeta,Dinophilus_gardineri,0,0,0,0,0,0,0,0,0,0,0,35,17,0,0,0,0
Annelida,Polychaeta,Diopatra_ornata,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Annelida,Polychaeta,Dodecaceria_concharum,95,30,0,83,0,0,0,0,169,0,0,0,0,0,0,0,0
Mollusca,Cephalopoda,Doryteuthis_pealeii,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
Mollusca,Gastropoda,Doto_coronata,0,0,1548,2886,333,0,0,0,0,0,0,0,0,0,0,0,0
Cnidaria,Hydrozoa,Dynamena_pumila,115,313,81,174,0,142,136,0,3292,0,0,520,0,0,0,0,0
Arthropoda,Malacostraca,Dyspanopeus_sayi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7
Echinodermata,Echinoidea,Echinarachnius_parma,11,268,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
Mollusca,Gastropoda,Ecrobia_truncata,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
Mollusca,Gastropoda,Elysia_catulus,0,0,0,0,0,0,342,0,0,0,0,0,85,0,0,0,0
Annelida,Clitellata,Enchytraeus_albellus,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Mollusca,Gastropoda,Ercolania_fuscata,0,0,0,0,0,0,71,0,0,0,57,0,8,0,0,0,1206
Bryozoa,Gymnolaemata,Flustrellidra_hispida,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
Arthropoda,Malacostraca,Gammarus_lawrencianus,0,0,0,0,0,13,12,11,0,0,0,0,3,0,0,561,0
Arthropoda,Malacostraca,Gammarus_mucronatus,0,0,0,0,0,0,0,0,0,0,0,4,79,0,0,4,5
Arthropoda,Malacostraca,Gammarus_oceanicus,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,32,0
Mollusca,Bivalvia,Gemma_gemma,0,0,0,0,0,0,0,0,0,0,0,10,45,0,0,0,0
Mollusca,Bivalvia,Geukensia_demissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
Annelida,Polychaeta,Glycera_dibranchiata,0,0,0,34,0,0,0,0,668,0,0,0,0,0,0,8,5
Cnidaria,Hydrozoa,Gonionemus_vertens,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
Cnidaria,Hydrozoa,Gonothyraea_loveni,0,0,13,0,0,0,0,0,181,0,0,356,0,16008,0,8,0
Cnidaria,Hydrozoa,Halecium_halecinum,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Porifera,Demospongiae,Halichondria_bowerbanki,0,0,0,0,0,0,185,0,0,0,203,508,286,0,147,0,0
Porifera,Demospongiae,Halichondria_panicea,195,416,11,67,11,1229,0,0,494,147,60,869,18,0,0,9,0
Porifera,Demospongiae,Haliclona_oculata,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0
Cnidaria,Staurozoa,Haliclystus_tenuis,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0
Porifera,Demospongiae,Halisarca_dujardinii,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Mollusca,Gastropoda,Haminoea_solitaria,0,0,237,0,0,0,1266,0,0,0,3230,0,3,0,0,0,0
Annelida,Polychaeta,Harmothoe_imbricata,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
Cnidaria,Hydrozoa,Hartlaubella_gelatinosa,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Annelida,Polychaeta,Hediste_diversicolor,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
Arthropoda,Malacostraca,Homarus_americanus,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
Cnidaria,Hydrozoa,Hybocodon_prolifer,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
Cnidaria,Hydrozoa,Hydractinia_echinata,0,0,0,68,0,0,0,0,19,0,0,46,0,0,0,0,0
Annelida,Polychaeta,Hypereteone_heteropoda,0,0,0,0,0,0,0,0,0,0,0,929,0,0,0,81,0
Arthropoda,Malacostraca,Idotea_baltica,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Arthropoda,Malacostraca,Jaera_albifrons,0,15,0,0,0,0,0,0,35,0,0,0,0,0,0,30,0
Arthropoda,Malacostraca,Jassa_marmorata,0,0,0,11,0,14,0,0,32,0,0,2,0,0,0,0,0
Bryozoa,Gymnolaemata,Juxtacribrilina_mutabilis,520,0,53,509,15,26,184,0,5169,0,5,0,2186,0,12,0,0
Mollusca,Gastropoda,Lacuna_vincta,0,29,0,67,0,403,0,0,110,70,0,0,0,0,0,0,0
Cnidaria,Hydrozoa,Laomedea_flexuosa,11,86,109,0,0,0,19,0,442,0,0,39,0,0,0,0,0
Annelida,Polychaeta,Lepidonotus_squamatus_CMC02,0,19,0,11,0,0,0,242,10,0,0,4,0,0,0,0,0
Arthropoda,Malacostraca,Leptocheirus_pinguis,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Mollusca,Bivalvia,Limecola_petalum,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,4
Mollusca,Gastropoda,Littorina_littorea,0,1617,34,25,0,113,92,0,297,65,0,1867,0,0,17,0,0
Mollusca,Gastropoda,Littorina_obtusata,26,11,0,0,0,60,19,0,146,0,0,0,0,0,0,0,0
Mollusca,Gastropoda,Littorina_plena,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
Mollusca,Gastropoda,Littorina_saxatilis,0,17,0,0,0,0,111,0,0,0,0,0,3,0,0,0,0
Mollusca,Gastropoda,Lottia_paradigitalis,0,0,0,10,0,0,42,0,0,0,0,0,0,0,0,0,0
Annelida,Clitellata,Lumbricillus_lineatus,0,0,0,0,0,0,0,0,525,0,0,7,0,0,0,0,0
Annelida,Clitellata,Lumbricillus_rivalis,53,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Annelida,Clitellata,Lumbriculus_variegatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Annelida,Polychaeta,Marenzelleria_viridis,524,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1447,3
Mollusca,Gastropoda,Margarites_helicinus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mollusca,Gastropoda,Melampus_bidentatus,0,0,0,0,102,0,67,0,0,0,0,0,274,0,0,0,0
Cnidaria,Hydrozoa,Melicertum_octocostatum,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Bryozoa,Gymnolaemata,Membranipora_membranacea,797,14,80,910,0,10,0,0,125,0,130,6,135,80,0,0,0
Cnidaria,Anthozoa,Metridium_senile,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,4,0
Platyhelminthes,Rhabditophora,Microstomum_septentrionale,2735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mollusca,Bivalvia,Modiolus_modiolus,1059,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthropoda,Malacostraca,Monocorophium_acherusicum,0,0,0,0,0,0,8286,0,0,0,0,165,0,0,0,0,0
Arthropoda,Malacostraca,Monocorophium_insidiosum,0,11,0,98,0,19,10,0,90,0,0,0,34,0,0,9,0
Mollusca,Bivalvia,Mulinia_lateralis,0,0,84,0,0,24,0,172,0,0,77,0,0,652,0,896,2544
Mollusca,Bivalvia,Mya_arenaria,0,0,0,0,0,0,0,0,0,0,0,92,5,4,0,276,6
Annelida,Polychaeta,Myrianida_prolifera,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Arthropoda,Malacostraca,Mysis_gaspensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
Mollusca,Bivalvia,Mytilus_edulis,0,0,0,0,0,0,0,26,122,0,0,11,0,0,5,0,0
Mollusca,Bivalvia,Mytilus_trossulus,0,0,0,32,0,0,0,0,19,1321,0,0,0,5,31,0,32
Annelida,Polychaeta,Nicolea_zostericola,120,79,0,56,0,34,0,0,171,0,0,1294,0,0,0,0,0
Annelida,Polychaeta,Ninoe_nigripes,50,0,0,279,0,0,0,0,352,0,0,0,0,0,0,6,0
Cnidaria,Hydrozoa,Obelia_bidentata,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
Cnidaria,Hydrozoa,Obelia_dichotoma,0,0,0,0,0,0,0,0,0,0,0,54,113,110,33,0,0
Cnidaria,Hydrozoa,Obelia_geniculata,0,0,0,10,0,13,0,15,435,38,0,0,0,0,0,0,0
Cnidaria,Hydrozoa,Obelia_longissima,0,13,10,0,0,0,0,0,96,74,0,57,189,0,3,0,0
Mollusca,Gastropoda,Onchidoris_muricata,11,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinodermata,Ophiuroidea,Ophiopholis_aculeata,322,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthropoda,Malacostraca,Orchestia_grillus,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
Arthropoda,Malacostraca,Pagurus_acadianus,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Arthropoda,Malacostraca,Pagurus_longicarpus,0,0,0,0,0,0,0,0,24,0,0,15,0,0,0,0,0
Annelida,Clitellata,Paranais_botniensis,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,164,0
Annelida,Clitellata,Paranais_litoralis,0,0,0,0,0,0,44,0,37,0,0,142,127,0,4,253,9
Annelida,Polychaeta,Parasabella_microphthalma,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
Mollusca,Bivalvia,Parvicardium_pinnulatum,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemertea,Pilidiophora,Parvicirrus_dubius,0,49,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0
Annelida,Polychaeta,Pectinaria_gouldii,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
Mollusca,Bivalvia,Petricolaria_pholadiformis,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,28,40
Annelida,Polychaeta,Pherusa_affinis,0,15,0,0,13,0,0,0,35,0,0,545,4,0,0,0,0
Annelida,Polychaeta,Pholoe_minuta,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
Annelida,Polychaeta,Polycirrus_eximius,0,0,0,0,0,0,0,0,27,110,0,844,0,0,0,0,0
Annelida,Polychaeta,Polydora_cornuta,6693,2501,3403,0,85,4026,590,2225,3216,3220,107,2081,9710,1419,2220,162,0
Annelida,Polychaeta,Polydora_onagawaensis,0,0,0,16,191,0,0,0,126,0,0,0,0,0,0,0,0
Annelida,Polychaeta,Polygordius_jouinae,315,0,0,0,0,0,0,23,334,0,0,0,0,0,0,0,0
Annelida,Polychaeta,Pseudopolydora_bassarginensis,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0
Annelida,Polychaeta,Pseudopolydora_paucibranchiata,0,0,0,29,0,0,227,0,0,0,0,0,0,0,0,0,0
Annelida,Polychaeta,Pseudopotamilla_reniformis,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Mollusca,Bivalvia,Ruditapes_philippinarum,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
Cnidaria,Hydrozoa,Sarsia_tubulosa,0,0,0,0,0,0,0,0,183,0,0,0,54,0,0,0,0
Annelida,Polychaeta,Schistomeringos_longicornis,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Annelida,Polychaeta,Scoloplos_acutus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthropoda,Thecostraca,Semibalanus_balanoides,11,37,0,0,0,70,0,0,38,0,0,0,0,0,0,0,0
Mollusca,Gastropoda,Spurwinkia_salsa,0,0,0,0,0,0,0,0,0,0,190,8,0,0,0,0,3724
Annelida,Polychaeta,Streblospio_benedicti,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0
Echinodermata,Echinoidea,Strongylocentrotus_droebachiensis,59,0,0,15,0,13,0,0,0,14,0,0,0,0,0,0,0
Annelida,Clitellata,Stylodrilus_heringianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
Mollusca,Gastropoda,Tenellia_adspersa,0,0,0,0,0,0,0,0,0,0,258,0,0,2,0,1410,10
Mollusca,Gastropoda,Tergipes_tergipes,2485,0,0,0,1053,0,0,0,0,42,0,0,0,0,0,0,0
Mollusca,Gastropoda,Testudinalia_testudinalis,0,30,0,0,0,0,11,0,54,0,0,0,0,0,0,0,0
Nemertea,Enopla,Tetrastemma_candidum,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Annelida,Clitellata,Thalassodrilus_prostatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Mollusca,Gastropoda,Tritia_trivittata,0,0,0,0,56,0,0,574,0,0,0,0,0,0,0,0,0
Annelida,Clitellata,Tubificoides_benedii,0,22,0,0,0,0,29,0,129,0,0,112,85,0,3,0,0
Annelida,Clitellata,Tubificoides_fraseri,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Mollusca,Gastropoda,Turbonilla_powhatani,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0
Mollusca,Bivalvia,Turtonia_minuta,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
