"Phylum","Class","Species","Traditional","eDNA"
"Echinodermata","Echinoidea","Echinarachnius parma",FALSE,TRUE
"Echinodermata","Echinoidea","Strongylocentrotus droebachiensis",FALSE,TRUE
"Echinodermata","Ophiuroidea","Amphipholis squamata",TRUE,TRUE
"Echinodermata","Ophiuroidea","Ophiopholis aculeata",TRUE,TRUE
"Hemichordata","Hemichordata","Saccoglossus kowalevskii",TRUE,FALSE
"Mollusca","Bivalvia","Anomia simplex",TRUE,FALSE
"Mollusca","Bivalvia","Parvicardium pinnulatum",TRUE,TRUE
"Mollusca","Bivalvia","Cyclocardia borealis",TRUE,FALSE
"Mollusca","Bivalvia","Hiatella arctica",TRUE,FALSE
"Mollusca","Bivalvia","Mulinia lateralis",TRUE,TRUE
"Mollusca","Bivalvia","Mya arenaria",TRUE,TRUE
"Mollusca","Bivalvia","Geukensia demissa",FALSE,TRUE
"Mollusca","Bivalvia","Mytilus edulis",TRUE,TRUE
"Mollusca","Bivalvia","Mytilus trossulus",FALSE,TRUE
"Mollusca","Bivalvia","Modiolus modiolus",FALSE,TRUE
"Mollusca","Bivalvia","Crassostrea virginica",TRUE,TRUE
"Mollusca","Bivalvia","Ensis leei",TRUE,FALSE
"Mollusca","Bivalvia","Petrasma borealis",TRUE,FALSE
"Mollusca","Bivalvia","Macoma balthica",TRUE,FALSE
"Mollusca","Bivalvia","Macoma petalum",FALSE,TRUE
"Mollusca","Bivalvia","Ameritella agilis",TRUE,FALSE
"Mollusca","Bivalvia","Gemma gemma",TRUE,TRUE
"Mollusca","Bivalvia","Mercenaria mercenaria",TRUE,FALSE
"Mollusca","Bivalvia","Petricolaria pholadiformis",TRUE,TRUE
"Mollusca","Bivalvia","Ruditapes philippinarum",FALSE,TRUE
"Mollusca","Cephalopoda","Doryteuthis pealeii",FALSE,TRUE
"Mollusca","Gastropoda","Crepidula convexa",FALSE,TRUE
"Mollusca","Gastropoda","Crepidula fornicata",TRUE,TRUE
"Mollusca","Gastropoda","Bittiolum alternatum",TRUE,FALSE
"Mollusca","Gastropoda","Bittiolum varium",FALSE,TRUE
"Mollusca","Gastropoda","Spurwinkia salsa",FALSE,TRUE
"Mollusca","Gastropoda","Astyris lunata",TRUE,FALSE
"Mollusca","Gastropoda","Coryphella verrucosa",FALSE,TRUE
"Mollusca","Gastropoda","Doto coronata",FALSE,TRUE
"Mollusca","Gastropoda","Melampus bidentatus",TRUE,TRUE
"Mollusca","Gastropoda","Haminella solitaria",TRUE,TRUE
"Mollusca","Gastropoda","Ecrobia truncata",TRUE,TRUE
"Mollusca","Gastropoda","Alderia modesta",FALSE,TRUE
"Mollusca","Gastropoda","Ercolania fuscata",FALSE,TRUE
"Mollusca","Gastropoda","Lacuna vincta",TRUE,TRUE
"Mollusca","Gastropoda","Littorina littorea",TRUE,TRUE
"Mollusca","Gastropoda","Littorina obtusata",TRUE,TRUE
"Mollusca","Gastropoda","Littorina plena",FALSE,TRUE
"Mollusca","Gastropoda","Littorina saxatilis",TRUE,TRUE
"Mollusca","Gastropoda","Lottia paradigitalis",FALSE,TRUE
"Mollusca","Gastropoda","Testudinalia testudinalis",TRUE,TRUE
"Mollusca","Gastropoda","Margarites helicinus",FALSE,TRUE
"Mollusca","Gastropoda","Ilyanassa obsoleta",TRUE,FALSE
"Mollusca","Gastropoda","Ilyanassa trivittata",TRUE,TRUE
"Mollusca","Gastropoda","Onchidoris muricata",FALSE,TRUE
"Mollusca","Gastropoda","Elysia catulus",FALSE,TRUE
"Mollusca","Gastropoda","Odostomia sp",TRUE,FALSE
"Mollusca","Gastropoda","Turbonilla powhatani",TRUE,TRUE
"Mollusca","Gastropoda","Boonea bisuturalis",FALSE,TRUE
"Mollusca","Gastropoda","Rissoidae",TRUE,FALSE
"Mollusca","Gastropoda","Tergipes tergipes",FALSE,TRUE
"Mollusca","Gastropoda","Acteocina canaliculata",TRUE,FALSE
"Mollusca","Gastropoda","Catriona gymnota",FALSE,TRUE
"Mollusca","Gastropoda","Tenellia adspersa",FALSE,TRUE
"Nemertea","Pilidiophora","Cerebratulus lacteus",TRUE,TRUE
"Nemertea","Pilidiophora","Parvicirrus dubius",FALSE,TRUE
"Nemertea","Nemertea","Lineus ruber",TRUE,FALSE
"Porifera","Demospongiae","Haliclona oculata",FALSE,TRUE
"Porifera","Demospongiae","Cliona celata",FALSE,TRUE
"Porifera","Demospongiae","Halichondria bowerbanki",FALSE,TRUE
"Porifera","Demospongiae","Halichondria panicea",FALSE,TRUE
"Annelida","Clitellata","Amphichaeta sannio",FALSE,TRUE
"Annelida","Clitellata","Clitellio arenarius",FALSE,TRUE
"Annelida","Clitellata","Lumbricillus lineatus",FALSE,TRUE
"Annelida","Clitellata","Lumbricillus rivalis",FALSE,TRUE
"Annelida","Clitellata","Paranais botniensis",FALSE,TRUE
"Annelida","Clitellata","Paranais litoralis",FALSE,TRUE
"Annelida","Polychaeta","Polycirrus eximius",FALSE,TRUE
"Annelida","Clitellata","Tubificoides benedii",FALSE,TRUE
"Cnidaria","Hydrozoa","Bougainvillia muscus",FALSE,TRUE
"Cnidaria","Hydrozoa","Clava multicornis",FALSE,TRUE
"Cnidaria","Hydrozoa","Clytia hemisphaerica",FALSE,TRUE
"Cnidaria","Hydrozoa","Dynamena pumila",FALSE,TRUE
"Cnidaria","Hydrozoa","Gonionemus vertens",FALSE,TRUE
"Cnidaria","Hydrozoa","Gonothyraea loveni",FALSE,TRUE
"Cnidaria","Hydrozoa","Halecium halecinum",FALSE,TRUE
"Cnidaria","Hydrozoa","Hybocodon prolifer",FALSE,TRUE
"Cnidaria","Hydrozoa","Hydractinia echinata",FALSE,TRUE
"Cnidaria","Hydrozoa","Laomedea flexuosa",FALSE,TRUE
"Cnidaria","Hydrozoa","Obelia bidentata",FALSE,TRUE
"Cnidaria","Hydrozoa","Obelia dichotoma",FALSE,TRUE
"Cnidaria","Hydrozoa","Obelia geniculata",FALSE,TRUE
"Cnidaria","Hydrozoa","Obelia longissima",FALSE,TRUE
"Cnidaria","Hydrozoa","Sarsia tubulosa",FALSE,TRUE
"Platyhelminthes","Rhabditophora","Astrotorhynchus hakaiensis",FALSE,TRUE
"Platyhelminthes","Rhabditophora","Microstomum septentrionale",FALSE,TRUE
